"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"AK","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","8","0","1","","04/01/2012","03/31/2015"
"AL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","42","1","8","","04/01/2012","03/31/2015"
"AR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","27","2","10","","04/01/2012","03/31/2015"
"AS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0","","04/01/2012","03/31/2015"
"AZ","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","48","0","5","","04/01/2012","03/31/2015"
"CA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","205","6","85","","04/01/2012","03/31/2015"
"CO","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","46","2","7","","04/01/2012","03/31/2015"
"CT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","4","24","0","0","","04/01/2012","03/31/2015"
"DC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","5","0","2","","04/01/2012","03/31/2015"
"DE","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","3","2","1","","04/01/2012","03/31/2015"
"FL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","140","5","19","","04/01/2012","03/31/2015"
"GA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","73","2","16","","04/01/2012","03/31/2015"
"GU","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","1","","04/01/2012","03/31/2015"
"HI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","7","0","6","","04/01/2012","03/31/2015"
"IA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","50","0","19","","04/01/2012","03/31/2015"
"ID","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","23","0","5","","04/01/2012","03/31/2015"
"IL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","112","0","26","","04/01/2012","03/31/2015"
"IN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","76","3","29","","04/01/2012","03/31/2015"
"KS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","44","2","9","","04/01/2012","03/31/2015"
"KY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","42","0","13","","04/01/2012","03/31/2015"
"LA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","54","0","21","","04/01/2012","03/31/2015"
"MA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","55","2","3","","04/01/2012","03/31/2015"
"MD","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","Not Available","Not Available","Not Available","Not Available","4 - Data suppressed by CMS for one or more quarters.","04/01/2012","03/31/2015"
"ME","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","28","1","4","","04/01/2012","03/31/2015"
"MI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","95","3","18","","04/01/2012","03/31/2015"
"MN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","59","2","22","","04/01/2012","03/31/2015"
"MO","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","66","0","11","","04/01/2012","03/31/2015"
"MP","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0","","04/01/2012","03/31/2015"
"MS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","26","1","10","","04/01/2012","03/31/2015"
"MT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","18","1","6","","04/01/2012","03/31/2015"
"NC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","77","3","8","","04/01/2012","03/31/2015"
"ND","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","9","0","0","","04/01/2012","03/31/2015"
"NE","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","40","0","12","","04/01/2012","03/31/2015"
"NH","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","22","0","2","","04/01/2012","03/31/2015"
"NJ","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","48","2","11","","04/01/2012","03/31/2015"
"NM","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","18","1","6","","04/01/2012","03/31/2015"
"NV","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","22","0","1","","04/01/2012","03/31/2015"
"NY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","109","3","35","","04/01/2012","03/31/2015"
"OH","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","128","6","21","","04/01/2012","03/31/2015"
"OK","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","46","1","15","","04/01/2012","03/31/2015"
"OR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","38","1","10","","04/01/2012","03/31/2015"
"PA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","4","125","1","24","","04/01/2012","03/31/2015"
"PR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","7","0","25","","04/01/2012","03/31/2015"
"RI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","9","0","1","","04/01/2012","03/31/2015"
"SC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","40","1","12","","04/01/2012","03/31/2015"
"SD","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","18","0","2","","04/01/2012","03/31/2015"
"TN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","53","1","20","","04/01/2012","03/31/2015"
"TX","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","6","198","4","55","","04/01/2012","03/31/2015"
"UT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","30","0","4","","04/01/2012","03/31/2015"
"VA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","6","52","1","13","","04/01/2012","03/31/2015"
"VI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","1","0","1","","04/01/2012","03/31/2015"
"VT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","12","0","0","","04/01/2012","03/31/2015"
"WA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","55","0","7","","04/01/2012","03/31/2015"
"WI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","83","1","19","","04/01/2012","03/31/2015"
"WV","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","22","0","11","","04/01/2012","03/31/2015"
"WY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","15","0","3","","04/01/2012","03/31/2015"
"AK","Serious complications","PSI_90_SAFETY","0","9","0","Not Available","","07/01/2013","06/30/2015"
"AL","Serious complications","PSI_90_SAFETY","4","78","4","Not Available","","07/01/2013","06/30/2015"
"AR","Serious complications","PSI_90_SAFETY","1","42","2","Not Available","","07/01/2013","06/30/2015"
"AS","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"AZ","Serious complications","PSI_90_SAFETY","4","57","1","Not Available","","07/01/2013","06/30/2015"
"CA","Serious complications","PSI_90_SAFETY","12","283","9","Not Available","","07/01/2013","06/30/2015"
"CO","Serious complications","PSI_90_SAFETY","2","44","1","Not Available","","07/01/2013","06/30/2015"
"CT","Serious complications","PSI_90_SAFETY","6","25","0","Not Available","","07/01/2013","06/30/2015"
"DC","Serious complications","PSI_90_SAFETY","4","3","0","Not Available","","07/01/2013","06/30/2015"
"DE","Serious complications","PSI_90_SAFETY","0","6","0","Not Available","","07/01/2013","06/30/2015"
"FL","Serious complications","PSI_90_SAFETY","9","153","11","Not Available","","07/01/2013","06/30/2015"
"GA","Serious complications","PSI_90_SAFETY","6","97","2","Not Available","","07/01/2013","06/30/2015"
"GU","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"HI","Serious complications","PSI_90_SAFETY","0","12","0","Not Available","","07/01/2013","06/30/2015"
"IA","Serious complications","PSI_90_SAFETY","1","32","2","Not Available","","07/01/2013","06/30/2015"
"ID","Serious complications","PSI_90_SAFETY","0","14","0","Not Available","","07/01/2013","06/30/2015"
"IL","Serious complications","PSI_90_SAFETY","8","114","5","Not Available","","07/01/2013","06/30/2015"
"IN","Serious complications","PSI_90_SAFETY","3","85","3","Not Available","","07/01/2013","06/30/2015"
"KS","Serious complications","PSI_90_SAFETY","1","50","2","Not Available","","07/01/2013","06/30/2015"
"KY","Serious complications","PSI_90_SAFETY","2","61","2","Not Available","","07/01/2013","06/30/2015"
"LA","Serious complications","PSI_90_SAFETY","3","93","3","Not Available","","07/01/2013","06/30/2015"
"MA","Serious complications","PSI_90_SAFETY","3","56","2","Not Available","","07/01/2013","06/30/2015"
"MD","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","4 - Data suppressed by CMS for one or more quarters.","07/01/2013","06/30/2015"
"ME","Serious complications","PSI_90_SAFETY","1","19","0","Not Available","","07/01/2013","06/30/2015"
"MI","Serious complications","PSI_90_SAFETY","13","79","4","Not Available","","07/01/2013","06/30/2015"
"MN","Serious complications","PSI_90_SAFETY","0","50","1","Not Available","","07/01/2013","06/30/2015"
"MO","Serious complications","PSI_90_SAFETY","5","70","2","Not Available","","07/01/2013","06/30/2015"
"MP","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"MS","Serious complications","PSI_90_SAFETY","2","62","1","Not Available","","07/01/2013","06/30/2015"
"MT","Serious complications","PSI_90_SAFETY","1","12","0","Not Available","","07/01/2013","06/30/2015"
"NC","Serious complications","PSI_90_SAFETY","2","82","3","Not Available","","07/01/2013","06/30/2015"
"ND","Serious complications","PSI_90_SAFETY","0","8","0","Not Available","","07/01/2013","06/30/2015"
"NE","Serious complications","PSI_90_SAFETY","2","24","1","Not Available","","07/01/2013","06/30/2015"
"NH","Serious complications","PSI_90_SAFETY","1","12","0","Not Available","","07/01/2013","06/30/2015"
"NJ","Serious complications","PSI_90_SAFETY","10","49","5","Not Available","","07/01/2013","06/30/2015"
"NM","Serious complications","PSI_90_SAFETY","1","31","0","Not Available","","07/01/2013","06/30/2015"
"NV","Serious complications","PSI_90_SAFETY","3","20","1","Not Available","","07/01/2013","06/30/2015"
"NY","Serious complications","PSI_90_SAFETY","20","134","2","Not Available","","07/01/2013","06/30/2015"
"OH","Serious complications","PSI_90_SAFETY","8","124","0","Not Available","","07/01/2013","06/30/2015"
"OK","Serious complications","PSI_90_SAFETY","2","87","2","Not Available","","07/01/2013","06/30/2015"
"OR","Serious complications","PSI_90_SAFETY","4","28","2","Not Available","","07/01/2013","06/30/2015"
"PA","Serious complications","PSI_90_SAFETY","12","141","0","Not Available","","07/01/2013","06/30/2015"
