Hospital_Name,Provider_ID,State,Fiscal_Year,Domain_1_Score,Domain_1_Score_Footnote,Domain_1_Start_Date,Domain_1_End_Date,AHRQ_PSI_90_Score,AHRQ_PSI_90_Score_Footnote,Domain_2_Score,Domain_2_Score_Footnote,CLABSI_Score,CLABSI_Score_Footnote,CAUTI_Score,CAUTI_Score_Footnote,SSI_Score,SSI_Score_Footnote,MRSA_Score,MRSA_Footnote,CDI_Score,CDI_Footnote,Domain_2_Start_Date,Domain_2_End_Date,Total_HAC_Score,Total_HAC_Score_Footnote,Payment_Reduction,Payment_Reduction_Footnote
"ADVENTIST MEDICAL CENTER","050121","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","7.8000","","10","","10","","10","","4","","5","","01-JAN-14","31-DEC-15","7.0800","","Yes",""
"DAMERON HOSPITAL","050122","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","7.8000","","8","","9","","3","","10","","9","","01-JAN-14","31-DEC-15","8.1300","","Yes",""
"USC VERDUGO HILLS HOSPITAL","050124","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","6.0000","","10","","9","","2","","4","","5","","01-JAN-14","31-DEC-15","5.7000","","No",""
"REGIONAL MEDICAL CENTER OF SAN JOSE","050125","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","8.8000","","9","","9","","9","","9","","8","","01-JAN-14","31-DEC-15","8.8300","","Yes",""
"VALLEY PRESBYTERIAN HOSPITAL","050126","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","7.2000","","8","","4","","8","","8","","8","","01-JAN-14","31-DEC-15","7.3200","","Yes",""
"WOODLAND MEMORIAL HOSPITAL","050127","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","4.0000","","1","","4","","9","","1","","5","","01-JAN-14","31-DEC-15","3.8500","","No",""
"TRI-CITY MEDICAL CENTER","050128","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","6.4000","","6","","8","","8","","4","","6","","01-JAN-14","31-DEC-15","6.6400","","Yes",""
"ST BERNARDINE MEDICAL CENTER","050129","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","5.0000","","5","","5","","3","","3","","9","","01-JAN-14","31-DEC-15","4.8500","","No",""
"SAN GABRIEL VALLEY MEDICAL CENTER","050132","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","7.4000","","10","","9","","6","","2","","10","","01-JAN-14","31-DEC-15","6.5900","","Yes",""
"RIDEOUT MEMORIAL HOSPITAL","050133","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","8.8000","","9","","8","","10","","7","","10","","01-JAN-14","31-DEC-15","8.9800","","Yes",""
"SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD","050135","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","7.6000","","3","","6","","10","","10","","9","","01-JAN-14","31-DEC-15","6.6100","","Yes",""
"PETALUMA VALLEY HOSPITAL","050136","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","4.0000","","1","","5","","1","","N/A","5","9","","01-JAN-14","31-DEC-15","4.7500","","No",""
"KAISER FOUNDATION HOSPITAL - PANORAMA CITY","050137","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","4.8000","","5","","4","","3","","4","","8","","01-JAN-14","31-DEC-15","4.9800","","No",""
