Provider ID,Hospital_Name,Address,City,State,ZIP Code,County Name,Phone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,HCAHPS Answer Percent,HCAHPS Answer Percent Footnote,HCAHPS Linear Mean Value, Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Measure Start Date,Measure End Date
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_CLEAN_HSP_A_P","Patients who reported that their room and bathroom were Always clean","Room was always clean","4","","74","","90","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_CLEAN_HSP_SN_P","Patients who reported that their room and bathroom were Sometimes or Never clean","Room was sometimes or never clean","4","","5","","90","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were Usually clean","Room was usually clean","4","","21","","90","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_CLEAN_LINEAR_SCORE","Cleanliness - linear mean score","Cleanliness - linear mean score","4","","","","90","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_CLEAN_STAR_RATING","Cleanliness - star rating","Cleanliness - star rating","4","","","","90","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_1_A_P","Patients who reported that their nurses Always communicated well","Nurses always communicated well","5","","83","","94","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_1_LINEAR_SCORE","Nurse communication - linear mean score","Nurse communication - linear mean score","5","","","","94","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_1_SN_P","Patients who reported that their nurses Sometimes or Never communicated well","Nurses sometimes or never communicated well","5","","2","","94","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_1_STAR_RATING","Nurse communication - star rating","Nurse communication - star rating","5","","","","94","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_1_U_P","Patients who reported that their nurses Usually communicated well","Nurses usually communicated well","5","","15","","94","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_2_A_P","Patients who reported that their doctors Always communicated well","Doctors always communicated well","4","","85","","94","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_2_LINEAR_SCORE","Doctor communication - linear mean score","Doctor communication - linear mean score","4","","","","94","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_2_SN_P","Patients who reported that their doctors Sometimes or Never communicated well","Doctors sometimes or never communicated well","4","","2","","94","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_2_STAR_RATING","Doctor communication - star rating","Doctor communication - star rating","4","","","","94","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_2_U_P","Patients who reported that their doctors Usually communicated well","Doctors usually communicated well","4","","13","","94","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_3_A_P","Patients who reported that they Always received help as soon as they wanted","Patients always received help as soon as they wanted","3","","60","","83","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_3_LINEAR_SCORE","Staff responsiveness - linear mean score","Staff responsiveness - linear mean score","3","","","","83","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_3_SN_P","Patients who reported that they Sometimes or Never received help as soon as they wanted","Patients sometimes or never received help as soon as they wanted","3","","10","","83","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_3_STAR_RATING","Staff responsiveness - star rating","Staff responsiveness - star rating","3","","","","83","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_3_U_P","Patients who reported that they Usually received help as soon as they wanted","Patients usually received help as soon as they wanted","3","","30","","83","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_4_A_P","Patients who reported that their pain was Always well controlled","Pain was always well controlled","4","","75","","91","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_4_LINEAR_SCORE","Pain management - linear mean score","Pain management - linear mean score","4","","","","91","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_4_SN_P","Patients who reported that their pain was Sometimes or Never well controlled","Pain was sometimes or never well controlled","4","","3","","91","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_4_STAR_RATING","Pain management - star rating","Pain management - star rating","4","","","","91","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_4_U_P","Patients who reported that their pain was Usually well controlled","Pain was usually well controlled","4","","22","","91","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_5_A_P","Patients who reported that staff Always explained about medicines before giving it to them","Staff always explained","4","","72","","85","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_5_LINEAR_SCORE","Communication about medicines - linear mean score","Communication about medicines - linear mean score","4","","","","85","424","","26","","04/01/2015","03/31/2016"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","(626) 359-8111","H_COMP_5_SN_P","Patients who reported that staff Sometimes or Never explained about medicines before giving it to them","Staff sometimes or never explained","4","","12","","85","424","","26","","04/01/2015","03/31/2016"
