PROVIDER_ID,Hospital_Name,Hospital_Type,Address,City,State,ZIP_Code,County_Name,MEASURE_ID,MEASURE_DESCRIPTION,NUMERATOR,DENOMINATOR,FOOTNOTE,RPTG_PRD_START_DT,RPTG_PRD_END_DT
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","PCH-1","Adjuvant Chemotherapy for Colon Cancer","Not Available","Not Available","1","10/01/2014","09/30/2015"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","PCH-2","Combination Chemotherapy for Breast Cancer","20","20","","10/01/2014","09/30/2015"
"050146","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE"," CA","91010","LOS ANGELES","PCH-3","Hormonal Therapy for Breast Cancer","207","217","","04/01/2014","03/31/2015"
"050660","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES"," CA","90089","LOS ANGELES","PCH-1","Adjuvant Chemotherapy for Colon Cancer","Not Available","Not Available","1","10/01/2014","09/30/2015"
"050660","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES"," CA","90089","LOS ANGELES","PCH-2","Combination Chemotherapy for Breast Cancer","Not Available","Not Available","1","10/01/2014","09/30/2015"
"050660","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES"," CA","90089","LOS ANGELES","PCH-3","Hormonal Therapy for Breast Cancer","42","42","","04/01/2014","03/31/2015"
"100079","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI"," FL","33136","DADE","PCH-1","Adjuvant Chemotherapy for Colon Cancer","14","14","","10/01/2014","09/30/2015"
"100079","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI"," FL","33136","DADE","PCH-2","Combination Chemotherapy for Breast Cancer","29","29","","10/01/2014","09/30/2015"
"100079","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI"," FL","33136","DADE","PCH-3","Hormonal Therapy for Breast Cancer","135","142","","04/01/2014","03/31/2015"
"100271","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA"," FL","33612","HILLSBOROUGH","PCH-1","Adjuvant Chemotherapy for Colon Cancer","21","24","","10/01/2014","09/30/2015"
"100271","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA"," FL","33612","HILLSBOROUGH","PCH-2","Combination Chemotherapy for Breast Cancer","38","43","","10/01/2014","09/30/2015"
"100271","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA"," FL","33612","HILLSBOROUGH","PCH-3","Hormonal Therapy for Breast Cancer","370","391","","04/01/2014","03/31/2015"
"220162","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON"," MA","02115","SUFFOLK","PCH-1","Adjuvant Chemotherapy for Colon Cancer","31","31","","10/01/2014","09/30/2015"
"220162","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON"," MA","02115","SUFFOLK","PCH-2","Combination Chemotherapy for Breast Cancer","81","82","","10/01/2014","09/30/2015"
"220162","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON"," MA","02115","SUFFOLK","PCH-3","Hormonal Therapy for Breast Cancer","558","577","","04/01/2014","03/31/2015"
"330154","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","Short-term","1275 YORK AVENUE","NEW YORK"," NY","10021","NEW YORK","PCH-1","Adjuvant Chemotherapy for Colon Cancer","86","88","","10/01/2014","09/30/2015"
"330154","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","Short-term","1275 YORK AVENUE","NEW YORK"," NY","10021","NEW YORK","PCH-2","Combination Chemotherapy for Breast Cancer","198","210","","10/01/2014","09/30/2015"
"330154","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","Short-term","1275 YORK AVENUE","NEW YORK"," NY","10021","NEW YORK","PCH-3","Hormonal Therapy for Breast Cancer","1029","1044","","04/01/2014","03/31/2015"
"330354","ROSWELL PARK CANCER INSTITUTE","Short-term","ELM AND CARLTON STREETS","BUFFALO"," NY","14203","ERIE","PCH-1","Adjuvant Chemotherapy for Colon Cancer","Not Available","Not Available","1","10/01/2014","09/30/2015"
"330354","ROSWELL PARK CANCER INSTITUTE","Short-term","ELM AND CARLTON STREETS","BUFFALO"," NY","14203","ERIE","PCH-2","Combination Chemotherapy for Breast Cancer","18","22","","10/01/2014","09/30/2015"
"330354","ROSWELL PARK CANCER INSTITUTE","Short-term","ELM AND CARLTON STREETS","BUFFALO"," NY","14203","ERIE","PCH-3","Hormonal Therapy for Breast Cancer","144","150","","04/01/2014","03/31/2015"
"360242","JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE","Short-term","460 WEST TENTH AVENUE","COLUMBUS"," OH","43210","FRANKLIN","PCH-1","Adjuvant Chemotherapy for Colon Cancer","34","36","","10/01/2014","09/30/2015"
"360242","JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE","Short-term","460 WEST TENTH AVENUE","COLUMBUS"," OH","43210","FRANKLIN","PCH-2","Combination Chemotherapy for Breast Cancer","61","63","","10/01/2014","09/30/2015"
"360242","JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE","Short-term","460 WEST TENTH AVENUE","COLUMBUS"," OH","43210","FRANKLIN","PCH-3","Hormonal Therapy for Breast Cancer","272","284","","04/01/2014","03/31/2015"
"390196","HOSPITAL OF THE FOX CHASE CANCER CENTER","Short-term","333 COTTMAN AVENUE","PHILADELPHIA"," PA","19111","PHILADELPHIA","PCH-1","Adjuvant Chemotherapy for Colon Cancer","18","18","","10/01/2014","09/30/2015"
