"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.956","","01/01/2015","12/31/2015"
"AL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.530","","01/01/2015","12/31/2015"
"AR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.219","","01/01/2015","12/31/2015"
"AS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.917","","01/01/2015","12/31/2015"
"CA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.973","","01/01/2015","12/31/2015"
"CO","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.935","","01/01/2015","12/31/2015"
"CT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.221","","01/01/2015","12/31/2015"
"DC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.273","","01/01/2015","12/31/2015"
"DE","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.944","","01/01/2015","12/31/2015"
"FL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.094","","01/01/2015","12/31/2015"
"GA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.173","","01/01/2015","12/31/2015"
"GU","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"HI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.298","","01/01/2015","12/31/2015"
"IA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.941","","01/01/2015","12/31/2015"
"ID","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.700","","01/01/2015","12/31/2015"
"IL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.873","","01/01/2015","12/31/2015"
"IN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.144","","01/01/2015","12/31/2015"
"KS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.802","","01/01/2015","12/31/2015"
"KY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.148","","01/01/2015","12/31/2015"
"LA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.532","","01/01/2015","12/31/2015"
"MA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.762","","01/01/2015","12/31/2015"
"MD","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.172","","01/01/2015","12/31/2015"
"ME","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.801","","01/01/2015","12/31/2015"
"MI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.981","","01/01/2015","12/31/2015"
"MN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.802","","01/01/2015","12/31/2015"
"MO","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.061","","01/01/2015","12/31/2015"
