State,Measure ID,Measure Name,Score,Footnote,Measure Start Date,Measure End Date
AK,OP_10,Abdomen CT Use of Contrast Material,5.9,,07/01/2014,06/30/2015
AK,OP_11,Thorax CT Use of Contrast Material,0.7,,07/01/2014,06/30/2015
AK,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.5,,07/01/2014,06/30/2015
AK,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.0,,07/01/2014,06/30/2015
AK,OP_8,MRI Lumbar Spine for Low Back Pain,44.9,,07/01/2014,06/30/2015
AK,OP_9,Mammography Follow-up Rates,8.8,,07/01/2014,06/30/2015
AL,OP_10,Abdomen CT Use of Contrast Material,13.6,,07/01/2014,06/30/2015
AL,OP_11,Thorax CT Use of Contrast Material,2.8,,07/01/2014,06/30/2015
AL,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.6,,07/01/2014,06/30/2015
AL,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,3.6,,07/01/2014,06/30/2015
AL,OP_8,MRI Lumbar Spine for Low Back Pain,42.7,,07/01/2014,06/30/2015
AL,OP_9,Mammography Follow-up Rates,7.4,,07/01/2014,06/30/2015
AR,OP_10,Abdomen CT Use of Contrast Material,14.5,,07/01/2014,06/30/2015
AR,OP_11,Thorax CT Use of Contrast Material,4.3,,07/01/2014,06/30/2015
AR,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.9,,07/01/2014,06/30/2015
AR,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.8,,07/01/2014,06/30/2015
AR,OP_8,MRI Lumbar Spine for Low Back Pain,43.0,,07/01/2014,06/30/2015
AR,OP_9,Mammography Follow-up Rates,9.6,,07/01/2014,06/30/2015
AS,OP_10,Abdomen CT Use of Contrast Material,21.4,,07/01/2014,06/30/2015
AS,OP_11,Thorax CT Use of Contrast Material,0.0,,07/01/2014,06/30/2015
AS,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2015
AS,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,0.0,,07/01/2014,06/30/2015
AS,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2015
AS,OP_9,Mammography Follow-up Rates,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2015
AZ,OP_10,Abdomen CT Use of Contrast Material,8.1,,07/01/2014,06/30/2015
