Provider_ID,Hospital_Name,Measure_ID,Gastrointestinal,Eye,Nervous System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Respiratory,Other,Footnote,Start_Date,End_Date
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","OP-26","683","313","429","1202","96","1704","9","9","3965","","01/01/2015","12/31/2015"
"010005","MARSHALL MEDICAL CENTERS","OP-26","4161","69","829","319","482","286","201","36","30","","01/01/2015","12/31/2015"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","OP-26","5587","0","70","159","260","318","807","61","13","","01/01/2015","12/31/2015"
"010007","MIZELL MEMORIAL HOSPITAL","OP-26","547","150","10","75","45","71","8","0","30","","01/01/2015","12/31/2015"
"010008","CRENSHAW COMMUNITY HOSPITAL","OP-26","194","0","0","0","25","42","0","0","0","","01/01/2015","12/31/2015"
"010011","ST. VINCENT'S EAST","OP-26","1602","0","351","196","113","375","2038","60","33","","01/01/2015","12/31/2015"
"010012","DEKALB REGIONAL MEDICAL CENTER","OP-26","2935","56","15","80","155","185","185","0","18","","01/01/2015","12/31/2015"
"010016","SHELBY BAPTIST MEDICAL CENTER","OP-26","2057","0","10","1067","1773","500","289","39","292","","01/01/2015","12/31/2015"
"010018","CALLAHAN EYE HOSPITAL","OP-26","0","6423","0","0","272","0","0","0","0","","01/01/2015","12/31/2015"
"010019","HELEN KELLER HOSPITAL","OP-26","4427","514","103","105","33","640","102","1","11","","01/01/2015","12/31/2015"
"010021","DALE MEDICAL CENTER","OP-26","613","0","127","131","29","13","16","1","0","","01/01/2015","12/31/2015"
"010022","CHEROKEE MEDICAL CENTER","OP-26","745","163","56","2","3","55","0","0","2","","01/01/2015","12/31/2015"
"010023","BAPTIST MEDICAL CENTER SOUTH","OP-26","783","56","82","72","151","107","508","39","211","","01/01/2015","12/31/2015"
"010024","JACKSON HOSPITAL & CLINIC INC","OP-26","1865","39","119","80","73","661","1537","5","349","","01/01/2015","12/31/2015"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","OP-26","10270","1624","290","1338","207","778","3128","16","67","","01/01/2015","12/31/2015"
"010032","WEDOWEE HOSPITAL","OP-26","217","0","0","0","0","0","0","0","0","","01/01/2015","12/31/2015"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","OP-26","1732","1","26","852","339","726","2390","604","391","","01/01/2015","12/31/2015"
"010034","COMMUNITY HOSPITAL INC","OP-26","1373","32","29","45","7","8","4","0","0","","01/01/2015","12/31/2015"
"010035","CULLMAN REGIONAL MEDICAL CENTER","OP-26","1907","1266","1676","770","1565","475","92","66","3","","01/01/2015","12/31/2015"
"010036","ANDALUSIA REGIONAL HOSPITAL","OP-26","1548","140","186","130","564","146","309","18","9","","01/01/2015","12/31/2015"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","OP-26","2192","145","36","224","47","76","279","25","2","","01/01/2015","12/31/2015"
"010039","HUNTSVILLE HOSPITAL","OP-26","886","0","38","282","540","231","10620","286","172","","01/01/2015","12/31/2015"
"010040","GADSDEN REGIONAL MEDICAL CENTER","OP-26","4259","0","847","976","295","354","266","86","54","","01/01/2015","12/31/2015"
"010044","MARION REGIONAL MEDICAL CENTER","OP-26","27","51","0","0","3","0","0","0","0","","01/01/2015","12/31/2015"
"010045","FAYETTE MEDICAL CENTER","OP-26","707","275","9","7","34","29","46","1","3","","01/01/2015","12/31/2015"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","OP-26","4815","0","93","596","470","220","1902","198","35","","01/01/2015","12/31/2015"
"010047","GEORGIANA MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2015","12/31/2015"
"010049","MEDICAL CENTER ENTERPRISE","OP-26","1178","48","68","263","100","55","12","1","24","","01/01/2015","12/31/2015"
"010051","GREENE COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2015","12/31/2015"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2015","12/31/2015"
"010055","FLOWERS HOSPITAL","OP-26","4651","6","1286","1058","1730","1104","1085","212","177","","01/01/2015","12/31/2015"
"010056","ST VINCENT'S BIRMINGHAM","OP-26","10718","0","6494","3951","749","857","2912","156","80","","01/01/2015","12/31/2015"
"010058","BIBB MEDICAL CENTER","OP-26","0","0","0","0","8","0","0","0","0","","01/01/2015","12/31/2015"
"010059","LAWRENCE MEDICAL CENTER","OP-26","311","0","0","0","54","0","7","1","0","","01/01/2015","12/31/2015"
"010061","HIGHLANDS MEDICAL CENTER","OP-26","2233","0","96","127","112","245","51","2","11","","01/01/2015","12/31/2015"
"010062","WIREGRASS MEDICAL CENTER","OP-26","749","0","18","48","256","12","0","32","197","","01/01/2015","12/31/2015"
"010065","RUSSELL HOSPITAL","OP-26","2902","536","271","263","57","308","369","22","11","","01/01/2015","12/31/2015"
"010069","MEDICAL CENTER BARBOUR","OP-26","384","2","6","15","141","44","0","35","137","","01/01/2015","12/31/2015"
"010073","CLAY COUNTY HOSPITAL","OP-26","441","118","0","0","1","0","0","0","0","","01/01/2015","12/31/2015"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","OP-26","6526","373","420","262","308","2004","1567","192","69","","01/01/2015","12/31/2015"
"010079","ATHENS-LIMESTONE HOSPITAL","OP-26","1886","323","421","423","152","323","100","30","27","","01/01/2015","12/31/2015"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","OP-26","7114","245","2266","1785","5687","436","357","40","42","","01/01/2015","12/31/2015"
"010085","DECATUR MORGAN HOSPITAL - DECATUR CAMPUS","OP-26","1664","43","210","1640","3508","1965","313","257","0","","01/01/2015","12/31/2015"
"010086","NORTHWEST MEDICAL CENTER","OP-26","1044","317","23","81","21","76","84","9","12","","01/01/2015","12/31/2015"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","OP-26","2611","0","249","215","96","3","192","44","18","","01/01/2015","12/31/2015"
"010089","WALKER BAPTIST MEDICAL CENTER","OP-26","3131","1030","3421","692","11","369","91","2","112","","01/01/2015","12/31/2015"
"010090","PROVIDENCE HOSPITAL","OP-26","7591","1474","2243","519","90","938","446","32","93","","01/01/2015","12/31/2015"
"010091","GROVE HILL MEMORIAL HOSPITAL","OP-26","847","0","0","1","23","7","2","0","1","","01/01/2015","12/31/2015"
"010092","D C H REGIONAL MEDICAL CENTER","OP-26","3543","81","727","1354","7147","1121","3892","389","244","","01/01/2015","12/31/2015"
"010095","HALE COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2015","12/31/2015"
"010097","ELMORE COMMUNITY HOSPITAL","OP-26","265","71","2","29","47","7","0","24","0","","01/01/2015","12/31/2015"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","OP-26","579","0","9","15","51","86","53","12","17","","01/01/2015","12/31/2015"
"010100","THOMAS HOSPITAL","OP-26","2025","103","1058","301","56","194","118","24","9","","01/01/2015","12/31/2015"
"010101","CITIZENS BMC","OP-26","2004","361","516","62","28","25","16","0","43","","01/01/2015","12/31/2015"
"010102","J PAUL JONES HOSPITAL","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2015","12/31/2015"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","OP-26","5863","932","1099","617","234","193","433","91","326","","01/01/2015","12/31/2015"
"010104","TRINITY MEDICAL CENTER","OP-26","1855","282","1279","1098","2912","316","216","73","44","","01/01/2015","12/31/2015"
"010108","PRATTVILLE BAPTIST HOSPITAL","OP-26","2566","472","0","377","326","0","18","5","600","","01/01/2015","12/31/2015"
"010109","PICKENS COUNTY MEDICAL CENTER","OP-26","335","0","0","0","239","0","0","0","14","","01/01/2015","12/31/2015"
"010110","BULLOCK COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2015","12/31/2015"
"010112","BRYAN W. WHITFIELD MEMORIAL HOSPITAL","OP-26","527","150","30","105","236","35","19","0","46","","01/01/2015","12/31/2015"
"010113","MOBILE INFIRMARY MEDICAL CENTER","OP-26","4617","258","2158","109","324","369","914","65","21","","01/01/2015","12/31/2015"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","OP-26","1453","540","122","676","1515","0","159","4","11","","01/01/2015","12/31/2015"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","OP-26","1","178","0","0","3","3","27","12","0","","01/01/2015","12/31/2015"
"010120","MONROE COUNTY HOSPITAL","OP-26","1086","0","0","9","31","4","0","2","105","","01/01/2015","12/31/2015"
"010125","LAKELAND COMMUNITY HOSPITAL","OP-26","129","0","0","0","0","0","3","0","0","","01/01/2015","12/31/2015"
"010126","TROY REGIONAL MEDICAL CENTER","OP-26","1521","0","270","113","13","62","26","5","11","","01/01/2015","12/31/2015"
"010128","JACKSON MEDICAL CENTER","OP-26","77","12","0","0","0","0","0","0","0","","01/01/2015","12/31/2015"
"010129","NORTH BALDWIN INFIRMARY","OP-26","257","28","44","26","12","9","20","0","1","","01/01/2015","12/31/2015"
"010130","ST VINCENT'S ST CLAIR","OP-26","1961","64","1333","157","1601","11","99","3","2","","01/01/2015","12/31/2015"
"010131","CRESTWOOD MEDICAL CENTER","OP-26","7250","2","2637","1249","4123","899","878","60","110","","01/01/2015","12/31/2015"
"010138","HILL HOSPITAL OF SUMTER COUNTY","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2015","12/31/2015"
"010139","BROOKWOOD MEDICAL CENTER","OP-26","2568","467","3222","1788","3731","1639","2555","117","97","","01/01/2015","12/31/2015"
"010144","SPRINGHILL MEDICAL CENTER","OP-26","1660","0","277","155","698","1064","1230","35","38","","01/01/2015","12/31/2015"
"010146","RMC JACKSONVILLE","OP-26","208","155","0","37","5","58","0","0","928","","01/01/2015","12/31/2015"
"010148","EVERGREEN MEDICAL CENTER","OP-26","99","0","39","0","7","0","2","1","0","","01/01/2015","12/31/2015"
"010149","BAPTIST MEDICAL CENTER EAST","OP-26","7499","0","13","84","85","209","96","7","23","","01/01/2015","12/31/2015"
"010150","L V STABLER MEMORIAL HOSPITAL","OP-26","248","28","6","26","1","12","3","0","1","","01/01/2015","12/31/2015"
"010157","SHOALS HOSPITAL","OP-26","2287","0","255","58","64","79","14","0","6","","01/01/2015","12/31/2015"
"010158","RUSSELLVILLE HOSPITAL","OP-26","281","40","62","52","17","37","24","0","3","","01/01/2015","12/31/2015"
"010164","COOSA VALLEY MEDICAL CENTER","OP-26","1734","510","114","447","1","143","61","749","0","","01/01/2015","12/31/2015"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","OP-26","145","0","100","513","12","0","0","0","0","","01/01/2015","12/31/2015"
"010169","ATMORE COMMUNITY HOSPITAL","OP-26","1134","0","54","1","26","4","13","0","4","","01/01/2015","12/31/2015"
"011300","WASHINGTON COUNTY HOSPITAL","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"011302","RED BAY HOSPITAL","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"011304","CHOCTAW GENERAL HOSPITAL","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"011305","ST VINCENTS BLOUNT","OP-26","900","0","85","26","12","12","147","4","1","","01/01/2015","12/31/2015"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","OP-26","2705","264","53","94","239","688","2297","189","202","","01/01/2015","12/31/2015"
"020006","MAT-SU REGIONAL MEDICAL CENTER","OP-26","2796","268","88","253","29","188","82","2","37","","01/01/2015","12/31/2015"
"020008","BARTLETT REGIONAL HOSPITAL","OP-26","255","6","16","51","2","47","5","0","3","","01/01/2015","12/31/2015"
"020012","FAIRBANKS MEMORIAL HOSPITAL","OP-26","1390","203","587","168","26","101","263","27","201","","01/01/2015","12/31/2015"
"020017","ALASKA REGIONAL HOSPITAL","OP-26","1688","210","32","297","145","157","280","45","17","","01/01/2015","12/31/2015"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","OP-26","861","185","453","177","37","35","51","0","0","","01/01/2015","12/31/2015"
"021303","SITKA COMMUNITY HOSPITAL","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"021306","PROVIDENCE KODIAK ISLAND MEDICAL CENTER","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"021311","PEACEHEALTH KETCHIKAN MEDICAL CENTER","OP-26","1063","29","113","161","116","102","58","6","12","","01/01/2015","12/31/2015"
"021313","SOUTH PENINSULA HOSPITAL","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"030001","ABRAZO MARYVALE CAMPUS","OP-26","568","0","0","12","8","224","233","2","3","","01/01/2015","12/31/2015"
"030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","OP-26","1334","0","37","901","171","236","1277","72","1934","","01/01/2015","12/31/2015"
"030006","TUCSON MEDICAL CENTER","OP-26","2099","179","3528","3733","10863","1155","1845","208","319","","01/01/2015","12/31/2015"
"030007","VERDE VALLEY MEDICAL CENTER","OP-26","3251","0","26","360","204","148","418","25","58","","01/01/2015","12/31/2015"
"030010","ST. MARY'S HOSPITAL","OP-26","5536","0","89","326","94","159","563","61","79","","01/01/2015","12/31/2015"
"030011","ST JOSEPH'S HOSPITAL","OP-26","1216","704","251","654","247","447","130","217","101","","01/01/2015","12/31/2015"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","OP-26","35","0","1","618","0","454","94","0","1171","","01/01/2015","12/31/2015"
"030013","YUMA REGIONAL MEDICAL CENTER","OP-26","1973","152","435","886","300","764","2838","391","306","","01/01/2015","12/31/2015"
"030014","HONORHEALTH JOHN C LINCOLN MEDICAL CENTER","OP-26","2111","0","782","315","136","215","376","230","67","","01/01/2015","12/31/2015"
"030016","BANNER CASA GRANDE MEDICAL CENTER","OP-26","1419","0","17","200","38","183","177","15","308","","01/01/2015","12/31/2015"
"030022","MARICOPA MEDICAL CENTER","OP-26","1999","255","25","60","50","170","6","11","61","","01/01/2015","12/31/2015"
"030023","FLAGSTAFF MEDICAL CENTER","OP-26","753","22","93","409","93","260","107","55","167","","01/01/2015","12/31/2015"
"030024","ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","OP-26","3096","0","74","358","747","1270","587","841","76","","01/01/2015","12/31/2015"
"030030","ABRAZO CENTRAL CAMPUS","OP-26","3103","0","37","1731","2639","570","346","11","82","","01/01/2015","12/31/2015"
"030033","BANNER PAYSON MEDICAL CENTER","OP-26","1103","235","383","113","66","111","60","7","3","","01/01/2015","12/31/2015"
"030036","CHANDLER REGIONAL MEDICAL CENTER","OP-26","1993","2","9","142","4885","1005","3093","293","290","","01/01/2015","12/31/2015"
"030037","ST LUKE'S MEDICAL CENTER","OP-26","2495","967","8665","758","38","130","1083","24","5","","01/01/2015","12/31/2015"
"030038","SCOTTSDALE OSBORN MEDICAL CENTER","OP-26","3665","144","114","526","324","74","104","26","89","","01/01/2015","12/31/2015"
"030043","CANYON VISTA MEDICAL CENTER","OP-26","4748","0","95","467","108","234","81","21","72","","01/01/2015","12/31/2015"
"030055","KINGMAN REGIONAL MEDICAL CENTER","OP-26","929","0","700","381","320","181","562","199","132","","01/01/2015","12/31/2015"
"030061","BANNER BOSWELL MEDICAL CENTER","OP-26","1379","0","169","413","191","352","1784","142","709","","01/01/2015","12/31/2015"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","OP-26","2378","7","1503","1208","3476","1284","2664","184","145","","01/01/2015","12/31/2015"
"030064","BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","OP-26","2921","593","105","64","137","169","65","367","192","","01/01/2015","12/31/2015"
"030065","BANNER DESERT MEDICAL CENTER","OP-26","1496","0","175","332","160","444","1386","85","206","","01/01/2015","12/31/2015"
"030068","MT. GRAHAM REGIONAL MEDICAL CENTER","OP-26","883","0","116","189","20","4","31","0","11","","01/01/2015","12/31/2015"
"030069","HAVASU REGIONAL MEDICAL CENTER","OP-26","3492","0","1805","896","3665","233","1445","117","46","","01/01/2015","12/31/2015"
"030077","SAN CARLOS APACHE HEALTHCARE CORP","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"030083","ABRAZO SCOTTSDALE CAMPUS","OP-26","644","0","11","1426","1819","539","322","59","31","","01/01/2015","12/31/2015"
"030085","NORTHWEST MEDICAL CENTER","OP-26","6034","409","143","745","251","644","252","150","34","","01/01/2015","12/31/2015"
"030087","HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER","OP-26","3803","0","226","816","293","1115","102","107","333","","01/01/2015","12/31/2015"
"030088","BANNER BAYWOOD MEDICAL CENTER","OP-26","1118","0","60","615","190","479","795","101","821","","01/01/2015","12/31/2015"
"030089","BANNER THUNDERBIRD MEDICAL CENTER","OP-26","1083","0","12","711","145","457","1112","95","834","","01/01/2015","12/31/2015"
"030092","HONORHEALTH DEER VALLEY MEDICAL CENTER","OP-26","5916","0","61","591","937","718","359","201","253","","01/01/2015","12/31/2015"
"030093","BANNER DEL E WEBB MEDICAL CENTER","OP-26","2084","4","170","548","174","356","540","71","254","","01/01/2015","12/31/2015"
"030094","ARROWHEAD HOSPITAL","OP-26","3653","0","234","1473","3107","1340","1699","300","127","","01/01/2015","12/31/2015"
"030101","WESTERN ARIZONA REGIONAL MEDICAL CENTER","OP-26","2380","0","137","269","1466","382","503","47","38","","01/01/2015","12/31/2015"
"030103","MAYO CLINIC HOSPITAL","OP-26","3921","0","3288","2730","646","709","1160","671","220","","01/01/2015","12/31/2015"
"030105","BANNER HEART HOSPITAL","OP-26","1","0","0","1","0","0","1278","0","0","","01/01/2015","12/31/2015"
"030107","ARIZONA SPINE AND JOINT HOSPITAL","OP-26","0","0","0","1585","0","0","0","0","0","","01/01/2015","12/31/2015"
"030108","THE SURGICAL HOSPITAL OF PHOENIX","OP-26","1","0","0","1118","0","0","0","0","0","","01/01/2015","12/31/2015"
"030110","ABRAZO WEST CAMPUS","OP-26","2682","0","42","186","978","649","646","111","95","","01/01/2015","12/31/2015"
"030111","BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS","OP-26","2032","1129","3227","718","17","99","0","1","3","","01/01/2015","12/31/2015"
"030112","ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL","OP-26","0","0","88","1112","17","0","16","0","2","","01/01/2015","12/31/2015"
"030114","ORO VALLEY HOSPITAL","OP-26","911","192","218","231","34","146","325","59","59","","01/01/2015","12/31/2015"
"030115","BANNER ESTRELLA MEDICAL CENTER","OP-26","1318","0","23","116","91","385","349","54","39","","01/01/2015","12/31/2015"
"030117","VALLEY VIEW MEDICAL CENTER","OP-26","536","40","58","244","1804","181","399","27","35","","01/01/2015","12/31/2015"
"030118","YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS","OP-26","0","3","0","766","0","0","0","0","835","","01/01/2015","12/31/2015"
"030119","MERCY GILBERT MEDICAL CENTER","OP-26","1149","0","36","568","174","426","1394","188","221","","01/01/2015","12/31/2015"
"030120","GILBERT HOSPITAL","OP-26","35","0","0","149","463","6","0","0","0","","01/01/2015","12/31/2015"
"030121","MOUNTAIN VISTA MEDICAL CENTER, LP","OP-26","2475","169","1664","403","66","425","1501","20","139","","01/01/2015","12/31/2015"
"030122","BANNER GATEWAY MEDICAL CENTER","OP-26","86","11","64","193","113","432","4558","328","392","","01/01/2015","12/31/2015"
"030123","SCOTTSDALE THOMPSON PEAK MEDICAL CENTER","OP-26","2715","0","16","85","8","221","14","12","3","","01/01/2015","12/31/2015"
"030130","BANNER IRONWOOD MEDICAL CENTER","OP-26","305","0","16","80","4","18","19","0","14","","01/01/2015","12/31/2015"
"030131","O.A.S.I.S. HOSPITAL","OP-26","0","0","4","262","4","0","0","0","0","","01/01/2015","12/31/2015"
"030132","FLORENCE HOSPITAL AT ANTHEM, LLC","OP-26","1","0","0","1","89","1","0","0","0","","01/01/2015","12/31/2015"
"030134","BANNER GOLDFIELD MEDICAL CENTER","OP-26","18","0","0","0","0","3","8","0","1","","01/01/2015","12/31/2015"
"030136","DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL","OP-26","1","0","0","4","0","0","0","0","164","","01/01/2015","12/31/2015"
"030137","GREEN VALLEY HOSPITAL","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"031300","WICKENBURG COMMUNITY HOSPITAL","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"031304","PAGE HOSPITAL","OP-26","72","0","56","2","0","5","14","0","1","","01/01/2015","12/31/2015"
"031309","SAGE MEMORIAL HOSPITAL","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"031312","COPPER QUEEN COMMUNITY HOSPITAL","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"031313","HOLY CROSS HOSPITAL","OP-26","945","0","1","9","1","53","0","0","0","","01/01/2015","12/31/2015"
"031314","COBRE VALLEY REGIONAL MEDICAL CENTER","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"031315","WHITE MOUNTAIN REGIONAL MEDICAL CENTER","OP-26","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","Not Available (5)","5","01/01/2015","12/31/2015"
"040001","SILOAM SPRINGS REGIONAL HOSPITAL","OP-26","1124","548","30","65","17","11","3","7","0","","01/01/2015","12/31/2015"
"040002","JOHNSON REGIONAL MEDICAL CENTER","OP-26","767","84","7","17","9","108","50","0","12","","01/01/2015","12/31/2015"
"040004","WASHINGTON REGIONAL MEDICAL CENTER","OP-26","1749","0","38","1021","1770","606","3579","260","37","","01/01/2015","12/31/2015"
"040007","CHI-ST VINCENT INFIRMARY","OP-26","1054","0","475","664","42333","30","685","168","195","","01/01/2015","12/31/2015"
"040010","MERCY HOSPITAL NORTHWEST ARKANSAS","OP-26","9815","0","5211","801","4647","1056","1724","84","108","","01/01/2015","12/31/2015"
"040011","CHAMBERS MEMORIAL HOSPITAL","OP-26","376","39","0","6","9","66","50","0","0","","01/01/2015","12/31/2015"
"040014","WHITE COUNTY MEDICAL CENTER","OP-26","634","0","130","281","53","380","100","50","14","","01/01/2015","12/31/2015"
"040015","MENA REGIONAL HEALTH SYSTEM","OP-26","528","119","0","29","17","0","1","0","10","","01/01/2015","12/31/2015"
"040016","UAMS MEDICAL CENTER","OP-26","4362","1899","1917","2379","5564","4193","16278","4545","5083","","01/01/2015","12/31/2015"
"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","OP-26","1749","0","0","1246","164","708","20","3","811","","01/01/2015","12/31/2015"
"040018","SPARKS MEDICAL CENTER VAN BUREN","OP-26","347","0","36","67","14","28","14","0","0","","01/01/2015","12/31/2015"
"040019","FORREST CITY MEDICAL CENTER","OP-26","1315","5","11","15","53","111","121","0","6","","01/01/2015","12/31/2015"
"040020","ST BERNARDS MEDICAL CENTER","OP-26","2688","0","197","902","5225","796","3817","246","173","","01/01/2015","12/31/2015"
"040022","NORTHWEST MEDICAL CENTER-SPRINGDALE","OP-26","4225","21","576","283","403","253","241","72","9","","01/01/2015","12/31/2015"
"040026","ST VINCENT HOT SPRINGS","OP-26","2849","1535","387","786","72","1477","1509","270","220","","01/01/2015","12/31/2015"
"040027","BAXTER REGIONAL MEDICAL CENTER","OP-26","700","50","50","500","50","150","350","100","50","","01/01/2015","12/31/2015"
"040029","CONWAY REGIONAL MEDICAL CENTER","OP-26","2804","882","824","724","1219","720","580","110","4","","01/01/2015","12/31/2015"
"040036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","OP-26","1743","0","69","1909","1112","793","1719","274","89","","01/01/2015","12/31/2015"
"040039","ARKANSAS METHODIST MEDICAL CENTER","OP-26","2080","88","73","106","37","193","825","3","7","","01/01/2015","12/31/2015"
"040041","ST MARYS REGIONAL MEDICAL CENTER","OP-26","1886","197","0","662","0","262","2021","12","1635","","01/01/2015","12/31/2015"
"040047","FIVE RIVERS MEDICAL CENTER","OP-26","473","0","0","98","0","0","0","0","0","","01/01/2015","12/31/2015"
"040050","OUACHITA COUNTY MEDICAL CENTER","OP-26","965","507","268","712","263","61","29","7","33","","01/01/2015","12/31/2015"
