Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","READM-30-AMI-HRRP","781"," ","0.9837","15.3580","15.6121","119","01-JUL-12","30-JUN-15"
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","READM-30-CABG-HRRP","273"," ","1.0618","13.8887","13.0809","40","01-JUL-12","30-JUN-15"
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","READM-30-COPD-HRRP","709"," ","1.0455","19.7525","18.8932","143","01-JUL-12","30-JUN-15"
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","READM-30-HF-HRRP","983"," ","0.9509","20.2502","21.2964","196","01-JUL-12","30-JUN-15"
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","READM-30-HIP-KNEE-HRRP","335"," ","1.1198","5.6025","5.0034","21","01-JUL-12","30-JUN-15"
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","READM-30-PN-HRRP","664"," ","1.0892","17.2654","15.8507","119","01-JUL-12","30-JUN-15"
"MARSHALL MEDICAL CENTER SOUTH","010005","AL","READM-30-AMI-HRRP","Not Available"," ","0.9905","16.3958","16.5529","Too Few to Report","01-JUL-12","30-JUN-15"
"MARSHALL MEDICAL CENTER SOUTH","010005","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MARSHALL MEDICAL CENTER SOUTH","010005","AL","READM-30-COPD-HRRP","667"," ","0.9014","17.0536","18.9196","107","01-JUL-12","30-JUN-15"
"MARSHALL MEDICAL CENTER SOUTH","010005","AL","READM-30-HF-HRRP","389"," ","1.0001","21.5918","21.5891","84","01-JUL-12","30-JUN-15"
"MARSHALL MEDICAL CENTER SOUTH","010005","AL","READM-30-HIP-KNEE-HRRP","249"," ","1.2776","6.8669","5.3750","22","01-JUL-12","30-JUN-15"
"MARSHALL MEDICAL CENTER SOUTH","010005","AL","READM-30-PN-HRRP","890"," ","0.9553","15.5403","16.2681","136","01-JUL-12","30-JUN-15"
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","READM-30-AMI-HRRP","356"," ","0.9591","14.4326","15.0476","49","01-JUL-12","30-JUN-15"
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","READM-30-CABG-HRRP","134"," ","1.0648","14.0381","13.1837","21","01-JUL-12","30-JUN-15"
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","READM-30-COPD-HRRP","713"," ","0.9940","18.0069","18.1154","128","01-JUL-12","30-JUN-15"
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","READM-30-HF-HRRP","804"," ","0.9436","19.5895","20.7614","154","01-JUL-12","30-JUN-15"
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","READM-30-HIP-KNEE-HRRP","378"," ","1.0982","4.8098","4.3799","20","01-JUL-12","30-JUN-15"
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","READM-30-PN-HRRP","892"," ","1.0426","16.9133","16.2224","153","01-JUL-12","30-JUN-15"
"MIZELL MEMORIAL HOSPITAL","010007","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MIZELL MEMORIAL HOSPITAL","010007","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MIZELL MEMORIAL HOSPITAL","010007","AL","READM-30-COPD-HRRP","130"," ","0.9960","16.3468","16.4118","21","01-JUL-12","30-JUN-15"
"MIZELL MEMORIAL HOSPITAL","010007","AL","READM-30-HF-HRRP","107"," ","0.9608","19.0462","19.8237","18","01-JUL-12","30-JUN-15"
