"Measure Name","Measure ID","National Rate","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","14.1","24","2375","57","1909","","07/01/2012","06/30/2015"
"Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","12.1","89","3510","168","873","","07/01/2012","06/30/2015"
"Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","16.3","267","3783","252","387","","07/01/2012","06/30/2015"
"Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","16.8","26","2181","12","2008","","07/01/2012","06/30/2015"
"Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","21.9","129","3590","89","831","","07/01/2012","06/30/2015"
"Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","17.1","186","4044","79","383","","07/01/2012","06/30/2015"
"Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","4.6","31","2740","48","654","","07/01/2012","06/30/2015"
"Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","15.6","283","4074","214","175","","07/01/2014","06/30/2015"
"Rate of readmission for chronic obstructive pulmonary disease (COPD) patients","READM_30_COPD","20.0","82","3698","30","835","","07/01/2012","06/30/2015"
"Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","8.0","107","3580","57","899","","07/01/2012","06/30/2015"
"Rate of readmission for stroke patients","READM_30_STK","12.5","50","2634","7","1722","","07/01/2012","06/30/2015"
"Death rate for stroke patients","MORT_30_STK","14.9","76","2615","70","1704","","07/01/2012","06/30/2015"
"Rate of readmission for CABG","READM_30_CABG","14.4","7","1027","5","154","","07/01/2012","06/30/2015"
"Death rate for CABG","MORT_30_CABG","3.2","21","1015","14","144","","07/01/2012","06/30/2015"
