"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","28","","04/01/2015","03/31/2016"
"AL","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","22","","04/01/2015","03/31/2016"
"AR","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","35","","04/01/2015","03/31/2016"
"AS","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"AZ","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","04/01/2015","03/31/2016"
"CA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","28","","04/01/2015","03/31/2016"
"CO","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","29","","04/01/2015","03/31/2016"
"CT","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","32","","04/01/2015","03/31/2016"
"DC","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"DE","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"FL","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","26","","04/01/2015","03/31/2016"
"GA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","31","","04/01/2015","03/31/2016"
"GU","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"HI","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","22","","04/01/2015","03/31/2016"
"IA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","36","","04/01/2015","03/31/2016"
"ID","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","27","","04/01/2015","03/31/2016"
"IL","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","20","","04/01/2015","03/31/2016"
