"Value of care measure name","Value of care measure ID","Number of hospitals","Measure start date","Measure end date"
"Value of Care for heart attack patients - Worse mortality & lower payment","TOT_MORT_30_AMI_WORSE_PAYM_30_AMI_LOWER","4","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart attack patients - Worse mortality & average payment","TOT_MORT_30_AMI_WORSE_PAYM_30_AMI_AVERAGE","17","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart attack patients - Worse mortality & higher payment ","TOT_MORT_30_AMI_WORSE_PAYM_30_AMI_HIGHER","3","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart attack patients - Average mortality & lower payment","TOT_MORT_30_AMI_AVERAGE_PAYM_30_AMI_LOWER","166","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart attack patients - Average mortality & average payment","TOT_MORT_30_AMI_AVERAGE_PAYM_30_AMI_AVERAGE","1921","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart attack patients - Average mortality & higher payment","TOT_MORT_30_AMI_AVERAGE_PAYM_30_AMI_HIGHER","240","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart attack patients - Better mortality & lower payment","TOT_MORT_30_AMI_BETTER_PAYM_30_AMI_LOWER","12","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart attack patients - Better mortality & average payment","TOT_MORT_30_AMI_BETTER_PAYM_30_AMI_AVERAGE","33","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart attack patients - Better mortality & higher payment","TOT_MORT_30_AMI_BETTER_PAYM_30_AMI_HIGHER","12","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for pneumonia patients - Worse mortality & lower payment","TOT_MORT_30_PN_WORSE_PAYM_30_PN_LOWER","35","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for pneumonia patients - Worse mortality & average payment","TOT_MORT_30_PN_WORSE_PAYM_30_PN_AVERAGE","185","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for pneumonia patients - Worse mortality & higher payment","TOT_MORT_30_PN_WORSE_PAYM_30_PN_HIGHER","47","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for pneumonia patients - Average mortality & lower payment","TOT_MORT_30_PN_AVERAGE_PAYM_30_PN_LOWER","588","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for pneumonia patients - Average mortality & average payment","TOT_MORT_30_PN_AVERAGE_PAYM_30_PN_AVERAGE","2651","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for pneumonia patients - Average mortality & higher payment","TOT_MORT_30_PN_AVERAGE_PAYM_30_PN_HIGHER","424","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for pneumonia patients - Better mortality & lower payment","TOT_MORT_30_PN_BETTER_PAYM_30_PN_LOWER","50","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for pneumonia patients - Better mortality & average payment","TOT_MORT_30_PN_BETTER_PAYM_30_PN_AVERAGE","132","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for pneumonia patients - Better mortality & higher payment","TOT_MORT_30_PN_BETTER_PAYM_30_PN_HIGHER","70","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart failure patients - Worse mortality & lower payment","TOT_MORT_30_HF_WORSE_PAYM_30_HF_LOWER","10","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart failure patients - Worse mortality & average payment","TOT_MORT_30_HF_WORSE_PAYM_30_HF_AVERAGE","68","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart failure patients - Worse mortality & higher payment","TOT_MORT_30_HF_WORSE_PAYM_30_HF_HIGHER","11","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart failure patients - Average mortality & lower payment","TOT_MORT_30_HF_AVERAGE_PAYM_30_HF_LOWER","355","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart failure patients - Average mortality & average payment","TOT_MORT_30_HF_AVERAGE_PAYM_30_HF_AVERAGE","2563","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart failure patients - Average mortality & higher payment","TOT_MORT_30_HF_AVERAGE_PAYM_30_HF_HIGHER","521","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart failure patients - Better mortality & lower payment","TOT_MORT_30_HF_BETTER_PAYM_30_HF_LOWER","12","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart failure patients - Better mortality & average payment","TOT_MORT_30_HF_BETTER_PAYM_30_HF_AVERAGE","71","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Value of Care for heart failure patients - Better mortality & higher payment","TOT_MORT_30_HF_BETTER_PAYM_30_HF_HIGHER","85","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Number of hospitals containing at least 25 heart attack cases","TOT_MORT_30_AMI_NUM_HOSPITALS","2408","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Number of hospitals containing at least 25 pneumonia cases","TOT_MORT_30_PN_NUM_HOSPITALS","4182","2012-07-01 00:00:00","2015-06-30 00:00:00"
"Number of hospitals containing at least 25 heart failure cases","TOT_MORT_30_HF_NUM_HOSPITALS","3696","2012-07-01 00:00:00","2015-06-30 00:00:00"
