Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,PSI-90 Achievement Threshold,PSI-90 Benchmark,PSI-90 Baseline Rate,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","Dothan","AL","36301","HOUSTON","0.777936","0.547889","0.923916","0.523981","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","1.633","2.433","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","2.666","2.307","0 out of 10","1 out of 9","1 out of 10","2 out of 10","0.751","0.000","0.204","1.870","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.799","0.000","0.972","0.422","5 out of 10","5 out of 9","5 out of 10","0.750","0.000","0.535","0.787","0 out of 10","0 out of 9","0 out of 10"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","Boaz","AL","35957","MARSHALL","0.777936","0.547889","0.632670","0.620769","7 out of 10","1 out of 9","7 out of 10","0.457","0.000","0.000","0.648","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.285","0.698","2 out of 10","0 out of 9","2 out of 10","5 out of 10","0.751","0.000","0.671","0.386","5 out of 10","4 out of 9","5 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.316","1.388","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.293","0.405","5 out of 10","0 out of 9","5 out of 10"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","Florence","AL","35631","LAUDERDALE","0.777936","0.547889","1.003583","0.760992","1 out of 10","5 out of 9","5 out of 10","0.457","0.000","0.430","0.443","1 out of 10","0 out of 9","1 out of 10","0.845","0.000","0.493","0.801","1 out of 10","0 out of 9","1 out of 10","7 out of 10","0.751","0.000","1.220","0.310","6 out of 10","7 out of 9","7 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.164","1.261","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.694","0.513","3 out of 10","2 out of 9","3 out of 10"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","Opp","AL","36467","COVINGTON","0.777936","0.547889","0.886498","0.483313","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","1.167","0.000","10 out of 10","9 out of 9","10 out of 10"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","Birmingham","AL","35235","JEFFERSON","0.777936","0.547889","0.677015","0.687798","4 out of 10","0 out of 9","4 out of 10","0.457","0.000","0.967","0.335","3 out of 10","6 out of 9","6 out of 10","0.845","0.000","0.734","0.252","7 out of 10","6 out of 9","7 out of 10","2 out of 10","0.751","0.000","0.336","1.428","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","0.617","0.000","10 out of 10","9 out of 9","10 out of 10","0.799","0.000","3.100","0.885","0 out of 10","7 out of 9","7 out of 10","0.750","0.000","1.206","0.700","1 out of 10","4 out of 9","4 out of 10"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","Fort Payne","AL","35968","DE KALB","0.777936","0.547889","0.810855","0.587710","8 out of 10","8 out of 9","8 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.547","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.772","0.225","7 out of 10","7 out of 9","7 out of 10"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","Alabaster","AL","35007","SHELBY","0.777936","0.547889","0.862438","0.359187","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.200","0.236","5 out of 10","0 out of 9","5 out of 10","0.845","0.000","0.214","0.160","8 out of 10","2 out of 9","8 out of 10","1 out of 10","0.751","0.000","0.152","0.723","1 out of 10","0 out of 9","1 out of 10","0.698","0.000","0.946","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.626","1.580","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.438","0.758","0 out of 10","0 out of 9","0 out of 10"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","Sheffield","AL","35660","COLBERT","0.777936","0.547889","0.770822","0.811737","0 out of 10","0 out of 9","0 out of 10","0.457","0.000","0.000","0.901","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","4 out of 10","0.751","0.000","0.387","0.423","4 out of 10","0 out of 9","4 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.996","1.788","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.144","0.371","5 out of 10","0 out of 9","5 out of 10"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","Ozark","AL","36360","DALE","0.777936","0.547889","0.697918","0.736613","2 out of 10","0 out of 9","2 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.242","7 out of 10","0 out of 9","7 out of 10"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","Centre","AL","35960","CHEROKEE","0.777936","0.547889","0.765263","0.555906","9 out of 10","9 out of 9","9 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
